transaction_id,date,description,category,type,amount,balance_after
TXN1001,2025-01-01,City Water & Power,Utilities,debit,124.82,3075.18
TXN1002,2025-01-02,Local Cafe,Dining Out,debit,23.15,3052.03
TXN1003,2025-01-03,Sushi House,Dining Out,debit,51.61,3000.42
TXN1004,2025-01-04,Merchant Refund,Refund,credit,41.16,3041.58
TXN1005,2025-01-05,T-Mobile,Phone Bill,debit,45.59,2995.99
TXN1006,2025-01-06,T-Mobile,Phone Bill,debit,53.96,2942.03
TXN1007,2025-01-09,ATM Withdrawal - Main St Branch,ATM Withdrawal,debit,72.77,2869.26
TXN1008,2025-01-10,Maple Street Apartments,Rent,debit,1400.0,1469.26
TXN1009,2025-01-12,Target.com,Online Shopping,debit,89.8,1379.46
TXN1010,2025-01-13,Planet Fitness,Gym Membership,debit,44.71,1334.75
TXN1011,2025-01-15,Best Buy,Online Shopping,debit,30.53,1304.22
TXN1012,2025-01-16,Costco Gas,Gas,debit,31.76,1272.46
TXN1013,2025-01-17,Costco Gas,Gas,debit,41.81,1230.65
TXN1014,2025-01-18,Verizon Wireless,Phone Bill,debit,57.65,1173.0
TXN1015,2025-01-19,ATM Withdrawal - Main St Branch,ATM Withdrawal,debit,43.13,1129.87
TXN1016,2025-01-24,Merchant Refund,Refund,credit,59.71,1189.58
TXN1017,2025-01-25,Spotify,Subscription,debit,9.37,1180.21
TXN1018,2025-01-26,Aldi,Groceries,debit,67.42,1112.79
TXN1019,2025-01-27,ATM Withdrawal - Main St Branch,ATM Withdrawal,debit,46.87,1065.92
TXN1020,2025-01-28,Verizon Wireless,Phone Bill,debit,48.24,1017.68
TXN1021,2025-01-30,Planet Fitness,Gym Membership,debit,35.63,982.05
TXN1022,2025-01-31,Amazon,Online Shopping,debit,131.04,851.01
TXN1023,2025-02-01,City Water & Power,Utilities,debit,142.11,708.9
TXN1024,2025-02-02,Health Partners Plan,Insurance,debit,95.34,613.56
TXN1025,2025-02-05,iCloud Storage,Subscription,debit,13.2,600.36
TXN1026,2025-02-06,Merchant Refund,Refund,credit,66.58,666.94
TXN1027,2025-02-07,ATM Withdrawal - Main St Branch,ATM Withdrawal,debit,97.93,569.01
TXN1028,2025-02-08,Monthly Interest,Interest Earned,credit,4.77,573.78
TXN1029,2025-02-09,76,Gas,debit,55.59,518.19
TXN1030,2025-02-10,Safeway,Groceries,debit,132.48,385.71
TXN1031,2025-02-12,Costco Gas,Gas,debit,51.36,334.35
TXN1032,2025-02-13,Amazon Prime,Subscription,debit,11.9,322.45
TXN1033,2025-02-14,Monthly Interest,Interest Earned,credit,3.38,325.83
TXN1034,2025-02-16,Whole Foods,Groceries,debit,26.17,299.66
TXN1035,2025-02-17,ATM Withdrawal - Main St Branch,ATM Withdrawal,debit,69.31,230.35
TXN1036,2025-02-18,Best Buy,Online Shopping,debit,134.49,95.86
TXN1037,2025-02-20,Starbucks,Dining Out,debit,29.76,66.1
TXN1038,2025-02-21,Health Partners Plan,Insurance,debit,134.69,-68.59
TXN1039,2025-02-22,Chevron,Gas,debit,40.73,-109.32
TXN1040,2025-02-23,Maple Street Apartments,Rent,debit,1400.0,-1509.32
