Building Name,College,Capacity,Built Year,Address
Halligan Hall,Engineering,450,1965,161 College Ave
Tisch Library,Arts & Sciences,"1,200",1996,35 Professors Row
Alin Hall,Business,300,2008,100 Innovation Way
Fine Arts Center,Art & Design,600,1982,42 Creative Circle
Stoddard Hall,Medicine,250,1950,500 Medical Center Dr
Blackstone Complex,Law,500,2012,22 Legal Ave
Harmonic Hall,Music,800,2001,15 Symphony Way
Newton Center,Education,350,1974,88 Scholar Blvd
Nightingale Pavilion,Nursing,280,2018,510 Medical Center Dr
Turing Center,Computer Science,750,2021,102 Innovation Way
Adam Smith Hall,Economics,400,1990,104 Innovation Way
Darwin Laboratories,Biological Sciences,320,1988,75 Science Park
Curie Research Center,Chemistry,220,2005,80 Science Park
Socrates Hall,Humanities,380,1932,12 Heritage Lane
Archimedes Tower,Mathematics,300,1969,165 College Ave
Mondrian Studio,Art & Design,150,2015,48 Creative Circle
Galileo Observatory,Physics & Astronomy,180,1955,90 Science Park
Keynes Forum,Business,650,2019,108 Innovation Way
Herodotus Hall,History,290,1948,18 Heritage Lane
Pascal Center,Engineering,520,2010,170 College Ave
Chopin Auditorium,Music,950,1999,20 Symphony Way
Hippocrates Wing,Medicine,410,2003,520 Medical Center Dr
Dewey Hall,Education,260,1961,92 Scholar Blvd
Marshall Hall,Law,450,1985,30 Legal Ave
Florence Hall,Nursing,310,2014,525 Medical Center Dr
